url;lon;lat;zoom;month_year
https://104754190924.users.earthengine.app/view/test;-121,77;46,85;11;December 2021
https://19070241039.users.earthengine.app/view/shoaib;73,86;18,52;11;December 2021
https://1halliejohnson.users.earthengine.app/view/pelicanappfordemo;-112,52;41,43;6;December 2021
https://205527006.users.earthengine.app/view/agricultural-information-visualization-system;107,97;34,33;8;December 2021
https://205527006.users.earthengine.app/view/fujian-agricultural-information-visualization-system;118,05;26,26;8;December 2021
https://2200902213.users.earthengine.app/view/apppoint;121,80;40,90;11;December 2021
https://311605001111.users.earthengine.app/view/lianxi;99,20;33,68;5;December 2021
https://410093033.users.earthengine.app/view/markingflood;116,19;29,00;8;December 2021
https://410093033.users.earthengine.app/view/validation-roi-marking;116,19;29,00;8;December 2021
https://6240212101.users.earthengine.app/view/globalmtpi;-105,86;40,34;11;December 2021
https://6240212101.users.earthengine.app/view/lulc10mesri2020;102,09;14,97;10;December 2021
https://aaraney.users.earthengine.app/view/ecoregion-histogrammer;-96,00;38,00;5;December 2021
https://abmigc.users.earthengine.app/view/harvest-area-spectral-regen-2018;-114,57;55,61;12;December 2021
https://abocin.users.earthengine.app/view/ecovrede-analysis;5,85;51,94;10;December 2021
https://abocin.users.earthengine.app/view/ecovrede-toolkit;5,84;51,94;18;December 2021
https://addielloyd.users.earthengine.app/view/visualizing-changes-in-global-ndsi-snow-cover;16,33;61,83;6;December 2021
https://adrrod44.users.earthengine.app/view/cambiosecuador;-78,61;-0,97;7;December 2021
https://adrrod44.users.earthengine.app/view/change-detection;-78,61;-0,97;7;December 2021
https://adrrod44.users.earthengine.app/view/detecciondecambios;-78,53;-1,24;7;December 2021
https://adrrod44.users.earthengine.app/view/mapeo-de-inundaciones;-65,36;-9,29;4;December 2021
https://ael2014.users.earthengine.app/view/sentinel-2-multispectral;16,36;48,21;12;December 2021
https://afotesfaye.users.earthengine.app/view/multiple-views-of-sentinel-2-imagery------afework-mekeberiaw;38,00;9,43;11;December 2021
https://agronservice.users.earthengine.app/view/calidad-del-aire;20,00;50,00;4;December 2021
https://agronservice.users.earthengine.app/view/cereal;-45,00;30,00;NA;December 2021
https://agronservice.users.earthengine.app/view/covid-calidad-del-aire-espana;20,00;50,00;4;December 2021
https://agronservice.users.earthengine.app/view/covidcalidad-del-aire;20,00;50,00;4;December 2021
https://agronservice.users.earthengine.app/view/cultivos-axarqua;-4,09;36,78;12;December 2021
https://agronservice.users.earthengine.app/view/la-cala-golf;-45,00;30,00;NA;December 2021
https://agronservice.users.earthengine.app/view/maria-llorens;-45,00;30,00;NA;December 2021
https://agronservice.users.earthengine.app/view/subtropicales-axarqua;-4,11;36,78;12;December 2021
https://agronservice.users.earthengine.app/view/viedo;-45,00;30,00;NA;December 2021
https://ahokelsey.users.earthengine.app/view/akclimateplans;-153,75;65,44;4;December 2021
https://ahokelsey.users.earthengine.app/view/westernbalkansiwi;19,24;42,87;7;December 2021
https://akinnunenuva.users.earthengine.app/view/kvarken-seasons;21,63;63,09;NA;December 2021
https://akinnunenuva.users.earthengine.app/view/nightlightstest;21,63;63,09;NA;December 2021
https://alaminu53.users.earthengine.app/view/lekki-app;3,96;6,46;15;December 2021
https://alannarebelo.users.earthengine.app/view/housingapp;18,59;-34,06;14;December 2021
https://alannarebelo.users.earthengine.app/view/tokai-lulc-demo;18,41;-34,06;14;December 2021
https://alannarebelo.users.earthengine.app/view/umngeni-aliens;30,40;-29,50;10;December 2021
https://Alberta_Sentinel_analysis_v20.users.earthengine.app/view/openwaterapp2017;-112,05;51,31;7;December 2021
https://Alberta_Sentinel_analysis_v20.users.earthengine.app/view/openwaterpgnr;-112,05;51,31;7;December 2021
https://Alberta_Sentinel_analysis_v20.users.earthengine.app/view/pgnr-wetland;-112,05;51,31;7;December 2021
https://Alberta_Sentinel_analysis_v20.users.earthengine.app/view/wetlandappalberta;-111,69;50,79;10;December 2021
https://Alberta_Sentinel_analysis_v20.users.earthengine.app/view/wetlandapppilot;-111,69;50,79;10;December 2021
https://Alberta_Sentinel_analysis_v20.users.earthengine.app/view/wetlandupdate;-111,69;50,79;10;December 2021
https://albertvillalobosgasca.users.earthengine.app/view/random-forest-classifier-egypt;32,23;30,49;14;December 2021
https://alejandromarambio.users.earthengine.app/view/deforestacion-2000-2018;-89,00;20,00;8;December 2021
https://alemlakes.users.earthengine.app/view/ui-app;139,73;35,71;10;December 2021
https://alexanderariza.users.earthengine.app/view/hidroituango;-75,67;7,11;14;December 2021
https://alexanderariza.users.earthengine.app/view/seaflower;-113,42;40,06;6;December 2021
https://alexanderariza.users.earthengine.app/view/seaflower;-80,61;13,85;8;December 2021
https://alexanderariza.users.earthengine.app/view/severity-fire;-113,42;40,06;6;December 2021
https://alexanderquevedo.users.earthengine.app/view/incendiosjalisco;-103,60;20,41;9;December 2021
https://alexchunet.users.earthengine.app/view/alkhalidiyah;43,56;33,37;12;December 2021
https://alexchunet.users.earthengine.app/view/bukavumnt;28,83;-2,50;12;December 2021
https://alexchunet.users.earthengine.app/view/dakar2012;-17,32;14,73;9;December 2021
https://alexchunet.users.earthengine.app/view/dakar2020;-17,32;14,73;9;December 2021
https://alexchunet.users.earthengine.app/view/ghsldraw;13,58;20,31;3;December 2021
https://alexchunet.users.earthengine.app/view/kampalaslope;32,58;0,31;12;December 2021
https://alexchunet.users.earthengine.app/view/lac-taabo;-5,11;6,24;13;December 2021
https://alexchunet.users.earthengine.app/view/multispectralsenegal;-17,35;14,76;12;December 2021
https://alexchunet.users.earthengine.app/view/ndvidraw;13,58;20,31;3;December 2021
https://alexchunet.users.earthengine.app/view/ntlestimation;13,58;20,31;3;December 2021
